image_name,venus,jupiter,saturn,apollo,mercury,luna,mars,heart_center
Hand_0000009.jpg,0.051,0.101,0.096,0.327,0.107,0.056,0.357,0.243
Hand_0000010.jpg,0.051,0.101,0.104,0.315,0.107,0.056,0.364,0.226
Hand_0000011.jpg,0.051,0.101,0.106,0.3,0.107,0.056,0.42,0.285
Hand_0000012.jpg,0.051,0.101,0.093,0.303,0.107,0.056,0.332,0.305
Hand_0000013.jpg,0.051,0.101,0.094,0.323,0.107,0.056,0.33,0.298
Hand_0000014.jpg,0.051,0.101,0.092,0.321,0.107,0.056,0.342,0.256
Hand_0000015.jpg,0.051,0.101,0.093,0.325,0.107,0.056,0.363,0.273
Hand_0000016.jpg,0.051,0.101,0.095,0.333,0.107,0.056,0.371,0.273
Hand_0000020.jpg,0.079,0.196,0.219,0.101,0.107,0.056,0.276,0.221
Hand_0000021.jpg,0.051,0.101,0.252,0.196,0.107,0.06,0.206,0.317
Hand_0000022.jpg,0.051,0.101,0.254,0.206,0.109,0.057,0.211,0.306
Hand_0000023.jpg,0.051,0.126,0.099,0.187,0.107,0.056,0.329,0.4
Hand_0000024.jpg,0.051,0.101,0.15,0.199,0.107,0.056,0.28,0.407
Hand_0000025.jpg,0.051,0.101,0.172,0.186,0.107,0.056,0.318,0.381
Hand_0000026.jpg,0.051,0.101,0.171,0.188,0.107,0.06,0.317,0.358
Hand_0000027.jpg,0.051,0.101,0.196,0.188,0.107,0.066,0.263,0.323
Hand_0000028.jpg,0.051,0.101,0.164,0.201,0.107,0.056,0.278,0.335
Hand_0000029.jpg,0.051,0.101,0.173,0.189,0.107,0.056,0.288,0.332
Hand_0000030.jpg,0.051,0.101,0.168,0.213,0.107,0.056,0.331,0.388
Hand_0000031.jpg,0.051,0.101,0.184,0.223,0.107,0.062,0.298,0.404
Hand_0000032.jpg,0.051,0.101,0.144,0.223,0.107,0.056,0.351,0.412
Hand_0000033.jpg,0.051,0.101,0.154,0.217,0.107,0.056,0.35,0.407
Hand_0000034.jpg,0.051,0.101,0.16,0.214,0.107,0.056,0.351,0.407
Hand_0000038.jpg,0.051,0.101,0.146,0.101,0.236,0.117,0.269,0.197
